DateID;CustomerID;TotalTimeWatched;Platform;PlayEventType;VideoTitle
20201105;DJW8B0Y11C8V99OLJS4LKSXN001H;840;Web;LiveTV;Island Life
20201105;IG5651OEAWQLHL0FIZI29EID002M;60;Leanback;LiveTV;Election Day in America Continued
20201105;IG5651OEAWQLHL0FIZI29EID002M;540;Leanback;LiveTV;My 600-lb Life
20201105;IG5651OEAWQLHL0FIZI29EID002M;60;Leanback;LiveTV;Election Day in America Continued
20201105;IG5651OEAWQLHL0FIZI29EID002M;540;Leanback;LiveTV;My 600-lb Life
20201105;JO9Y8ZNQ3MIPC19BLHCE426J005F;240;Leanback;LiveTV;Lunchtime
20201105;JO9Y8ZNQ3MIPC19BLHCE426J005F;720;Leanback;Other;Gomora
20201105;JO9Y8ZNQ3MIPC19BLHCE426J005F;360;Leanback;LiveTV;South Africa Tonight
20201105;JO9Y8ZNQ3MIPC19BLHCE426J005F;180;Leanback;Other;Skeem Saam
20201105;JO9Y8ZNQ3MIPC19BLHCE426J005F;300;Leanback;LiveTV;Rhythm City
20201106;EW1DENH0EC1J3M9WAOZF9LSV004O;480;Leanback;LiveTV;News Live
20201106;EW1DENH0EC1J3M9WAOZF9LSV004O;480;Leanback;LiveTV;News Live
20201106;EW1DENH0EC1J3M9WAOZF9LSV004O;180;Leanback;LiveTV;CNN Tonight With Don Lemon
20201106;EW1DENH0EC1J3M9WAOZF9LSV004O;60;Leanback;LiveTV;First Move With Julia Chatterley
20201106;EW1DENH0EC1J3M9WAOZF9LSV004O;180;Leanback;LiveTV;CNN Tonight With Don Lemon
20201106;EW1DENH0EC1J3M9WAOZF9LSV004O;60;Leanback;LiveTV;First Move With Julia Chatterley
20201106;IG5651OEAWQLHL0FIZI29EID002M;2520;Leanback;LiveTV;First Move With Julia Chatterley
20201106;EW1DENH0EC1J3M9WAOZF9LSV004O;480;Leanback;LiveTV;News Live
20201106;EW1DENH0EC1J3M9WAOZF9LSV004O;480;Leanback;LiveTV;News Live
20201106;EW1DENH0EC1J3M9WAOZF9LSV004O;180;Leanback;LiveTV;CNN Tonight With Don Lemon
20201106;EW1DENH0EC1J3M9WAOZF9LSV004O;60;Leanback;LiveTV;First Move With Julia Chatterley
20201106;EW1DENH0EC1J3M9WAOZF9LSV004O;180;Leanback;LiveTV;CNN Tonight With Don Lemon
20201106;EW1DENH0EC1J3M9WAOZF9LSV004O;60;Leanback;LiveTV;First Move With Julia Chatterley
20201106;JMCVLXSA196YJ0KC6IDOIEVB000M;60;iOS;LiveTV;First Move With Julia Chatterley
20201106;JO9Y8ZNQ3MIPC19BLHCE426J005F;120;Leanback;LiveTV;Scandal!
20201106;IG5651OEAWQLHL0FIZI29EID002M;2520;Leanback;LiveTV;First Move With Julia Chatterley
20201106;IG5651OEAWQLHL0FIZI29EID002M;2520;Leanback;LiveTV;First Move With Julia Chatterley
20201106;IG5651OEAWQLHL0FIZI29EID002M;2520;Leanback;LiveTV;First Move With Julia Chatterley
20201106;6PMV67PLJ2S47S68J0Y30XFK003C;1380;Leanback;LiveTV;Family Affairs
20201106;JMCVLXSA196YJ0KC6IDOIEVB000M;4860;iOS;LiveTV;New Day
20201106;JMCVLXSA196YJ0KC6IDOIEVB000M;1740;iOS;LiveTV;CNN Tonight With Don Lemon
20201106;JMCVLXSA196YJ0KC6IDOIEVB000M;120;iOS;LiveTV;CNN Newsroom With Rosemary Church
20201106;JMCVLXSA196YJ0KC6IDOIEVB000M;180;iOS;LiveTV;CNN Newsroom With Rosemary Church
20201106;JMCVLXSA196YJ0KC6IDOIEVB000M;180;iOS;LiveTV;CNN Newsroom With John Vause
20201106;JMCVLXSA196YJ0KC6IDOIEVB000M;300;iOS;LiveTV;Cuomo Prime Time
20201106;JMCVLXSA196YJ0KC6IDOIEVB000M;60;iOS;LiveTV;Early Start
20201106;JO9Y8ZNQ3MIPC19BLHCE426J005F;600;Leanback;LiveTV;Skeem Saam
20201106;JO9Y8ZNQ3MIPC19BLHCE426J005F;240;Leanback;LiveTV;90 Days To Wed
20201106;JO9Y8ZNQ3MIPC19BLHCE426J005F;240;Leanback;LiveTV;The South African Morning
20201106;JO9Y8ZNQ3MIPC19BLHCE426J005F;2280;Leanback;LiveTV;90 Day FiancÃƒÂ©: Happily Ever After?
20201106;JO9Y8ZNQ3MIPC19BLHCE426J005F;240;Leanback;Other;Rhythm City
20201106;JO9Y8ZNQ3MIPC19BLHCE426J005F;1200;Leanback;LiveTV;The South African Morning
20201107;EW1DENH0EC1J3M9WAOZF9LSV004O;480;Leanback;LiveTV;PL 20/21: Everton v Man Utd
20201107;EW1DENH0EC1J3M9WAOZF9LSV004O;480;Leanback;LiveTV;PL 20/21: Everton v Man Utd
20201107;EW1DENH0EC1J3M9WAOZF9LSV004O;60;Leanback;LiveTV;CNN Newsroom Saturday
